Year,Term,Department Code,Name,Course No,Section,Instructor,Start Time,End Time,Days,Availability
2016,Spring,AAS 100,Intro: African Amer Studies, 20209,001,"Adams, Anne",2:50 PM,4:05 PM ,TH,3
2016,Spring,AAS 100,Intro: African Amer Studies, 20210,002,"Adams, Anne",2:50 PM,4:05 PM ,TH,0
2016,Spring,AAS 106,Africana Dance, 21349,001,"Lee, Yomee",4:00 PM,6:00 PM ,T,1
2016,Spring,AAS 110,Survey of African Amer Music, 20608,001,"Rosengarten, Lewis",12:40 PM, 1:30 PM,WFM,0
2016,Spring,AAS 112,Beginning Blues Guitar, 21557,001,"Harris, Richard",12:40 PM, 1:30 PM,M,1
2016,Spring,AAS 120,Politics & Multiculturalism, 20456,001,"Asumah, Seth",11:40 AM, 12:55 PM,TH,0
2016,Spring,AAS 120,Politics & Multiculturalism, 20457,002,"Xenakis, Christopher",09:10 AM, 10:00 AM,WFM,0
2016,Spring,AAS 120,Politics & Multiculturalism, 22850,003,"Xenakis, Christopher",11:30 AM, 12:20 PM,WFM,0
2016,Spring,AAS 142,"Rock, Jazz and Blues Ensemble", 21350,001,"Harris, Richard",7:00 PM,9:30 PM ,H,2
2016,Spring,AAS 205,Prisons and Punishment, 22851,001,"Ritz-Deutch, Ute",2:50 PM,4:05 PM ,TH,0
2016,Spring,AAS 206,Blues Appreciation in Culture, 21577,001,"Harris, Richard",11:40 AM, 12:55 PM,TH,0
2016,Spring,AAS 229,Spec Top: African Amer Studies, 22378,001,"Rosengarten, Lewis",11:40 AM, 12:55 PM,TH,2
2016,Spring,AAS 231,Hip-Hop Culture, 21466,001,"Stephens, Hasan",1:15 PM,2:30 PM ,TH,0
2016,Spring,AAS 241,African American Chorale, 20211,001,"Bowens, Deyquan",7:00 PM,9:30 PM ,W,50
2016,Spring,AAS 241,African American Chorale, 21681,540,"Bowens, Deyquan",7:00 PM,9:30 PM ,W,7
2016,Spring,AAS 251,Intro: African-Amer Literature, 21931,001,"Andres, Emmanuelle",09:10 AM, 10:00 AM,WFM,7
2016,Spring,AAS 290,Intro:African Politics&Society, 22857,001,"Asumah, Seth",4:25 PM,5:40 PM ,TH,5
2016,Spring,AAS 304,Peoples of Africa, 22376,001,"Kone, Kassim",4:20 PM,6:50 PM ,T,3
2016,Spring,AAS 329,Spec Top:African Amer Studies, 22856,001,"Adams, Anne",4:25 PM,5:40 PM ,TH,16
2016,Spring,AAS 329,Spec Top:African Amer Studies, 22858,002,"Andres, Emmanuelle",2:50 PM,4:05 PM ,TH,1
2016,Spring,AAS 329,Spec Top:African Amer Studies, 23148,003,"Karkov, Nikolay",4:20 PM,6:50 PM ,W,5
2016,Spring,AAS 404,Constitutional Law II, 21520,001,"Delaune, Timothy",1:15 PM,2:30 PM ,TH,0
2016,Spring,AAS 412,Ind Res: African Amer.Studies, 20208,501,"Asumah, Seth",7:00 PM,9:30 PM ,T,4
2016,Spring,AAS 425,African-Amer Women Novelists, 22859,001,"Nelson, Emmanuel",4:20 PM,6:50 PM ,M,5
2016,Spring,AAS 436,Films of Spike Lee, 22860,001,"Andres, Emmanuelle",11:40 AM, 12:55 PM,TH,0
2016,Spring,AAS 468,African-American Sport History, 21244,001,"Rayl, Susan",12:40 PM, 1:30 PM,WFM,1
